series,concentration,replicate,raw,snr_660.3,snr_1094.8,snr_1642.8,snr_3075.3,snr_mean,snr_min,group_median_snr,flagged
E,100.0,,Ethanol,61.03728389689913,321.1048138055143,175.06500531271575,263.1140020098593,205.08027625624712,61.03728389689913,,False
E,0.0,,Methanol,3.96352948341777,-1.9587867364450324,60.27736866824436,54.02907724941843,29.07779716615888,-1.9587867364450324,,False
EM,1.0,a,EM1_a,50.62285007716983,211.71622155888141,166.91742384179008,250.72374808770405,169.99506089138634,50.62285007716983,144.46256622313234,False
EM,2.0,a,EM2_a,50.229621566221546,185.9906229008751,149.50384248470277,230.002340276646,153.93160680711136,50.229621566221546,115.14788966353052,False
EM,3.0,a,EM3_a,38.55589925528195,140.1174313382382,137.59432656826385,192.01749345814147,127.07128765498136,38.55589925528195,127.07128765498136,False
EM,4.0,a,EM4_a,39.53981520357977,122.1575547502898,131.16535016773497,176.33160994834128,117.29858251748645,39.53981520357977,97.1270074141408,False
EM,5.0,a,EM5_a,34.270745576111544,86.84766324291255,115.86264412938314,150.82189342848625,96.95073659422337,34.270745576111544,96.95073659422337,False
EM,6.0,a,EM6_a,34.9219151857848,69.2210526938374,111.39413728243495,133.23280838662933,87.19247838717162,34.9219151857848,87.19247838717162,False
EM,7.0,a,EM7_a,27.459362218591615,51.36558397635952,104.32317023044557,116.88894789640143,75.00926608044954,27.459362218591615,75.00926608044954,False
EM,8.0,a,EM8_a,21.96029319334151,23.164938340239946,70.68700155875162,74.85988948955536,47.66803064547211,21.96029319334151,47.66803064547211,False
EM,9.0,a,EM9_a,22.897878301445303,13.920623994933798,82.82651453843985,82.78736653406666,50.6080958422214,13.920623994933798,50.6080958422214,False
EM,,,EMX,36.49273816862092,43.91865983371729,82.59180260149972,105.8855511806635,67.22218794612536,36.49273816862092,67.22218794612536,False
EM,1.0,b,EM1_b,39.141169989529665,197.48732592546932,136.2986632442277,204.92310573330272,144.46256622313234,39.141169989529665,144.46256622313234,False
EM,2.0,b,EM2_b,42.35819808314299,146.11845370872618,110.50369580123163,161.61121106102135,115.14788966353052,42.35819808314299,115.14788966353052,False
EM,3.0,b,EM3_b,58.101058335436875,201.2672533517166,162.17665046793147,216.9261258559279,159.6177720027532,58.101058335436875,127.07128765498136,False
EM,4.0,b,EM4_b,36.14555007237436,104.90445348472814,102.51030235143222,144.9477237480285,97.1270074141408,36.14555007237436,97.1270074141408,False
EM,5.0,b,EM5_b,46.15582030778416,109.93748180593471,130.8212086679459,166.1993629959956,113.2784684444151,46.15582030778416,96.95073659422337,False
EM,6.0,b,EM6_b,45.29131586717399,85.73750357586327,122.13783089257105,150.76185446006036,100.98212619891717,45.29131586717399,87.19247838717162,False
EM,7.0,b,EM7_b,34.4204881467732,59.89748072582906,117.86606543043807,127.61537607776577,84.94985259520152,34.4204881467732,75.00926608044954,False
EM,8.0,b,EM8_b,36.58113122754932,35.39062310631715,89.34992964375792,96.1369025103047,64.36464662198227,35.39062310631715,47.66803064547211,False
EM,9.0,b,EM9_b,27.857557724002405,18.58274457833475,106.31696477338123,101.63060823680692,63.59696882813133,18.58274457833475,50.6080958422214,False
EM,,b,EMX_b,79.28147790518271,78.88771122843441,105.59945673230443,137.1528498251962,100.23037392277944,78.88771122843441,67.22218794612536,False
EM,,c,EMX_c,4.544998916494197,4.429791957099418,5.497086183385732,11.043421667879594,6.378824681214736,4.429791957099418,67.22218794612536,True
EM,9.0,c,EM9_c,0.39498100907134964,1.0592995053340395,3.657482805114462,4.452117294192089,2.3909701534279852,0.39498100907134964,50.6080958422214,True
EM,8.0,c,EM8_c,0.575476407080674,2.6234222762180766,6.410992315991803,4.2322593894689735,3.4605375971898815,0.575476407080674,47.66803064547211,True
EM,7.0,c,EM7_c,-0.16969951415268503,0.06420015655906308,4.2725099234460355,4.611440480612677,2.1946127616162725,-0.16969951415268503,75.00926608044954,True
EM,6.0,c,EM6_c,1.209716921392655,2.559345031113071,3.250754163209723,4.740177179438567,2.9399983237885046,1.209716921392655,87.19247838717162,True
EM,5.0,c,EM5_c,0.7943043229482687,5.0005523923006345,2.007820035153233,4.842477366463963,3.1612885292165247,0.7943043229482687,96.95073659422337,True
EM,4.0,c,EM4_c,2.612494982799655,3.733204906961679,5.072243832303373,5.820404578816515,4.309587075220305,2.612494982799655,97.1270074141408,True
EM,3.0,c,EM3_c,2.4092555061373204,7.209966751812359,7.073634609206803,7.196124436825625,5.972245325995527,2.4092555061373204,127.07128765498136,True
EM,2.0,c,EM2_c,0.7843277056797601,9.1136659528093,3.8188902950566774,7.663161851684116,5.345011451307463,0.7843277056797601,115.14788966353052,True
EM,1.0,c,EM1_c,0.45823779625095323,8.95545452159828,3.4277703211882065,7.417304545951321,5.064691796247191,0.45823779625095323,144.46256622313234,True
E,90.0,a,E90_a,35.73246648596381,264.94842969081736,158.1202994271457,248.84270592700048,176.91097538273183,35.73246648596381,92.97657805501423,False
E,90.0,c,E90_c,2.3281055139819475,14.561828964602514,6.946266323446888,12.332522107155174,9.042180727296632,2.3281055139819475,92.97657805501423,True
E,80.0,c,E80_c,1.1648528614959675,8.91713969360247,7.11454315746486,9.201815983376592,6.599587923984972,1.1648528614959675,22.24181460923542,True
E,80.0,a,E80_a,8.165966158339376,55.875552946017265,35.564732292070985,51.92991378151586,37.88404129448587,8.165966158339376,22.24181460923542,False
E,70.0,c,E70_c,1.1195684756249116,4.422166931894837,4.950216847858646,4.3263370273115624,3.704572320672489,1.1195684756249116,49.23435992440398,True
E,70.0,a,E70_a,22.832532606752665,131.6530512272162,96.92898444879357,127.6420218297795,94.76414752813548,22.832532606752665,49.23435992440398,False
E,60.0,a,E60_a,28.728703025628803,168.91586540543838,120.97221655444314,163.23991748787503,120.46417561834633,28.728703025628803,63.22691226695416,False
E,60.0,c,E60_c,3.0043903275388977,11.18675216804589,4.5977718510927446,5.169681315570394,5.989648915561982,3.0043903275388977,63.22691226695416,True
E,50.0,c,E50_c,2.06501978433793,7.547845203245829,2.250806165903674,2.8017683581211816,3.6663598779021536,2.06501978433793,47.839785920731586,True
E,50.0,a,E50_a,19.227601012006794,133.7802812068962,94.4808269963217,120.5641386390194,92.01321196356102,19.227601012006794,47.839785920731586,False
E,40.0,a,E40_a,20.587956167136575,107.03623225066384,87.78927786835729,102.77507622246209,79.54713562715494,20.587956167136575,41.566744887142015,False
E,40.0,c,E40_c,1.3958768292067751,2.9093446813718815,5.768592262382457,4.27160281555525,3.5863541471290907,1.3958768292067751,41.566744887142015,True
E,30.0,c,E30_c,-1.5732975117131953,2.3645387003664107,3.188679236076334,1.112631216715029,1.2731379103611444,-1.5732975117131953,19.373527145990877,True
E,30.0,a,E30_a,6.980625242360422,54.489567326719296,41.393505512685344,47.03196744471738,37.47391638162061,6.980625242360422,19.373527145990877,False
E,20.0,a,E20_a,5.993192897401414,35.59845490402332,29.356248799042138,32.38496744170931,25.833216010544046,5.993192897401414,13.573875868782963,False
E,20.0,c,E20_c,-0.31597440762557766,2.569294115239586,2.515713581511556,0.48910961896196187,1.3145357270218816,-0.31597440762557766,13.573875868782963,True
E,10.0,a,E10_a,2.0921984722087017,19.348766873042443,13.576337422093394,15.30570635946051,12.580752281701262,2.0921984722087017,,False
E,5.0,a,E5_a,1.0985974278198218,8.446441187206819,2.1572451047284384,2.9947019117727534,3.6742464078819586,1.0985974278198218,,False
